id,title,description,tags,category
1,Park Cleanup Drive,Help us clean up the city park this weekend. Equipment provided.,environment;outdoor,Environment
2,Math Tutoring for Kids,Tutor middle school students in basic math concepts after school.,education;teaching;kids,Education
3,Food Bank Sorter,Sort donated food items at the local food bank and prepare care packages.,community;indoor,Community Service
4,Elderly Care Visit,Spend time with elderly residents at the care home playing games and chatting.,social;seniors,Social Care
5,Animal Shelter Assistant,Help feed and walk dogs at the city animal shelter.,animals;outdoor,Animal Care
6,Web Development Mentor,Mentor high school students interested in learning web development (HTML/CSS).,technology;teaching,Technology
7,Community Garden Planter,Join us to plant new flowers and vegetables in the community garden.,environment;outdoor,Environment
8,Hospital Greeter,Welcome visitors and help them find their way around the hospital.,healthcare;indoor,Healthcare
9,Local Library Organizer,Help organize books and assist patrons with finding materials at the local library.,education;indoor,Education
10,Beach Cleanup,Join our coastal team to remove plastic and waste from the local beaches.,environment;outdoor,Environment
